English	three	four	person	house	coconut	what	fire
Proto-Austronesian	telu	Sepat	Cau	ʀumaq	niuR	n-anu	apuy
Tagalog	tatlo	apat	tao	bahay	niyog	ano	apoy
Bikol	tulo	apat	tawo	harong	niyog	ano	kalayo
Cebuano	tulo	upat	tawo	balay	lubi	unsa	kalayo
Waray	tulo	upat	tawo	balay	lubi	ano	kalayo
Romblomanon	tuyo	upat	tawo	bayay	niyog	ano	kalayo
Bantoanon	tuyo	upat	tawo	bayay	nidog	ni-o	kayado
Onhan	tatlo	ap-at	tawo	balay	niyog	ano	kalayo
Hiligaynon	tatlo	apat	tawo	balay	lubi	ano	kalayo
Tausug	tu	upat	tau	bay	niyug	unu	kayu
Kinaray-a	tatlo	apat	taho	balay	niyog	ano	kalayo
Akeanon	tatlo	apat	tawo	baeay	niyog	ano	kaeayo
Maranao	t'lo	phat	taw	walay	neyog	tonaa	apoy
Pangasinan	talo, talora	apat, apatira	too	abong	niyog	anto	pool
Ilokano	tallo	uppat	tao	balay	niog	ania	apoy
Ivatan	tatdo	apat	tao	vahay	niyoy	ango	apoy
Tao	tílo (tatlo)	apat (ápat)	tao	vahay	niyoy	ango	apoy
Kapampangan	atlû	ápat	táu	balé	ngúngut	nánu	api
Ibanag	tallu	appa'	tolay	balay	niuk	anni	afi
Gaddang	tallo	appat	tolay	balay	ayog	sanenay	afuy
Tboli	tlu	fat	tau	gunu	lefo	tedu	ofih
Gorontalo	totolu	wopato	tawu	bele	sekat	wolo	tulu
Bolaang Mongondow	tolu	opat	intau	baloi	cekut	onda	tulu'
