Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alabama (2012)	Emma	Ava	Olivia	Isabella	Madison	Abigail	Elizabeth	Ella	Chloe	Harper
Alaska (2012)	Emma	Sophia	Olivia	Abigail	Ava	Chloe, Elizabeth, Lillian	Isabella	Emily	Grace, Madison	Ella, Harper
Arizona (2012)	Sophia	Isabella	Emma	Mia	Olivia	Emily	Ava	Abigail	Sofia	Madison
Arkansas (2012)	Emma	Sophia	Ava	Isabella	Olivia	Addison	Harper	Abigail	Madison, Zoey	Chloe
California (2012)	Sophia	Isabella	Emma	Emily	Mia	Olivia	Sofia	Abigail	Samantha	Camila
Colorado (2012)	Emma	Sophia	Olivia	Isabella	Ava	Abigail	Emily	Avery	Evelyn	Mia
Connecticut (2012)	Emma	Olivia	Isabella	Sophia	Ava	Mia	Emily	Charlotte	Abigail	Madison
Delaware (2012)	Sophia	Emma, Isabella	Ava, Olivia	Emily	Madison	Aubrey, Lillian	Abigail	Amelia, Layla, Zoey	Grace, Mia	Addison, Riley
District of Columbia (2012)	Sophia	Emma	Olivia	Charlotte	Genesis, Sofia	Ava	Chloe, Madison, Zoe	Naomi	Claire	Anna, Eleanor, Elizabeth, Mia
Florida (2012)	Isabella	Sophia	Emma	Olivia	Mia	Emily	Ava	Abigail	Madison	Sofia
Georgia (2012)	Emma	Ava	Isabella	Madison	Olivia	Sophia	Emily	Abigail	Chloe	Elizabeth
Hawaii (2012)	Sophia	Emma	Isabella	Ava	Mia	Chloe	Olivia	Lily, Madison	Abigail, Aria	Emily, Khloe
Idaho (2012)	Olivia	Sophia	Emma	Ava	Elizabeth	Abigail, Chloe	Emily	Brooklyn, Hannah, Zoey	Madison	Ella
Illinois (2012)	Sophia	Olivia	Isabella	Emma	Ava	Emily	Mia	Abigail	Sofia	Elizabeth
Indiana (2012)	Emma	Sophia	Olivia	Ava	Isabella	Lillian	Addison	Abigail	Avery	Elizabeth
Iowa (2012)	Emma	Sophia	Olivia	Harper	Ava	Ella	Avery	Addison	Emily	Lillian
Kansas (2012)	Emma	Sophia	Olivia	Isabella	Ava	Elizabeth	Avery	Abigail	Harper	Madison
Kentucky (2012)	Emma	Isabella	Sophia	Ava	Abigail	Olivia	Addison	Chloe	Aubrey	Madison
Louisiana (2012)	Emma	Ava	Isabella	Olivia	Chloe	Sophia	Madison	Aubrey	Abigail	Brooklyn, Ella
Maine (2012)	Emma	Sophia	Abigail	Ava, Olivia	Natalie	Emily	Chloe	Amelia, Avery	Isabella	Grace, Lillian
Maryland (2012)	Sophia	Emma	Ava	Olivia	Isabella	Madison	Abigail	Emily	Chloe	Elizabeth
Massachusetts (2012)	Emma	Sophia	Olivia	Isabella	Ava	Emily	Abigail	Charlotte	Mia	Grace
Michigan (2012)	Emma	Sophia	Ava	Olivia	Isabella	Madison	Abigail	Ella	Aubrey	Brooklyn
Minnesota (2012)	Emma	Olivia	Sophia	Ava	Avery	Evelyn	Ella	Isabella	Grace	Abigail
Mississippi (2012)	Emma	Madison	Ava	Olivia	Chloe	Aubrey	Isabella	Brooklyn	Elizabeth	Mary
Missouri (2012)	Emma	Sophia	Olivia	Ava	Isabella	Abigail	Avery, Harper	Lillian	Addison	Ella
Montana (2012)	Emma	Olivia	Ava	Harper, Sophia	Isabella	Zoey	Emily, Lily	Grace	Ella	Abigail, Madison
Nebraska (2012)	Emma	Olivia	Sophia	Harper	Ava	Ella	Avery	Isabella	Addison, Emily, Lillian	Charlotte
Nevada (2012)	Sophia	Isabella	Emma	Olivia	Mia	Emily	Ava	Madison	Chloe	Abigail
New Hampshire (2012)	Emma, Sophia	Olivia	Isabella	Ava	Charlotte	Emily	Abigail, Ella	Madison	Grace	Hannah
New Jersey (2012)	Sophia	Isabella	Emma	Olivia	Ava	Mia	Emily	Madison	Abigail	Gianna
New Mexico (2012)	Sophia	Isabella	Emma	Mia	Aaliyah	Nevaeh	Abigail	Emily	Olivia	Madison, Sofia
New York (2012)	Sophia	Isabella	Emma	Olivia	Ava	Emily	Madison	Mia	Abigail	Chloe
