Rank	Heat	Name	Nationality	Time
1	3	Svetlana Varganova Category:Articles with hCards	Soviet Union	2:29.77
2	3	Irena Fleissnerová Category:Articles with hCards	Czechoslovakia	2:32.79
3	4	Lina Kačiušytė Category:Articles with hCards	Soviet Union	2:33.04
4	2	Yuliya Bogdanova Category:Articles with hCards	Soviet Union	2:33.45
5	4	Susanne Nielsson Category:Articles with hCards	Denmark	2:34.42
6	2	Silvia Rinka Category:Articles with hCards	East Germany	2:34.88
7	1	Bettina Löbel Category:Articles with hCards	East Germany	2:35.31
8	1	Ute Geweniger Category:Articles with hCards	East Germany	2:35.42
9	3	Eva-Marie Håkansson Category:Articles with hCards	Sweden	2:35.64
10	4	Ann-Sofi Roos Category:Articles with hCards	Sweden	2:35.99
11	2	Debbie Rudd Category:Articles with hCards	Great Britain	2:36.32
12	1	Margaret Kelly Category:Articles with hCards	Great Britain	2:37.67
13	4	Tanya Dangalakova Category:Articles with hCards	Bulgaria	2:39.11
14	4	Lisa Curry Category:Articles with hCards	Australia	2:39.42
15	4	Brigitte Prass Category:Articles with hCards	Romania	2:39.90
16	3	Odile Bihan Category:Articles with hCards	France	2:40.55
17	4	Sabrina Seminatore Category:Articles with hCards	Italy	2:41.77
18	2	Elke Holtz Category:Articles with hCards	Mexico	2:42.59
19	1	Brigitte Bosmans Category:Articles with hCards	Belgium	2:42.87
20	3	Catherine Bohan Category:Articles with hCards	Ireland	2:43.30
21	1	Annick de Susini Category:Articles with hCards	France	2:44.03
22	2	Gabriella Kindl Category:Articles with hCards	Hungary	2:44.08
23	3	Lynne Tasker Category:Articles with hCards	Zimbabwe	2:48.86
24	2	Hoàng Thị Hoà Category:Articles with hCards	Vietnam	2:55.94
25	1	Nicole Rajoharison Category:Articles with hCards	Madagascar	3:12.40
