Tie no	Home team	Score	Away team	Attendance
1	Enfield	1–1	Woking	2 December 1995
Replay	Woking	2–1	Enfield	12 December 1995
2	Blackpool	2–0	Colwyn Bay	2 December 1995
3	Bournemouth	0–1	Brentford	2 December 1995
4	Barrow	0–4	Wigan Athletic	2 December 1995
5	Rochdale	2–2	Darlington	2 December 1995
Replay	Darlington	0–1	Rochdale	12 December 1995
6	Gillingham	3–0	Hitchin Town	2 December 1995
7	Crewe Alexandra	2–0	Mansfield Town	2 December 1995
8	Swindon Town	2–0	Cardiff City	2 December 1995
9	Wrexham	3–2	Chesterfield	2 December 1995
10	Stockport County	2–0	Blyth Spartans	2 December 1995
11	Fulham	0–0	Brighton & Hove Albion	2 December 1995
Replay	Brighton & Hove Albion	0–0	Fulham	14 December 1995
Fulham won 4–1 on penalties	Fulham won 4–1 on penalties	Fulham won 4–1 on penalties	Fulham won 4–1 on penalties	Fulham won 4–1 on penalties
12	Bradford City	2–1	Preston North End	2 December 1995
13	Scunthorpe United	1–1	Shrewsbury Town	2 December 1995
Replay	Shrewsbury Town	2–1	Scunthorpe United	12 December 1995
14	Kingstonian	1–2	Plymouth Argyle	3 December 1995
15	Torquay United	1–1	Walsall	2 December 1995
Replay	Walsall	8–4	Torquay United	12 December 1995
16	Hereford United	2–0	Sutton United	2 December 1995
17	Peterborough United	4–0	Bognor Regis Town	2 December 1995
18	Cinderford Town	1–1	Gravesend & Northfleet	2 December 1995
Replay	Gravesend & Northfleet	3–0	Cinderford Town	14 December 1995
19	Oxford United	2–0	Northampton Town	2 December 1995
20	Telford United	0–2	Notts County	2 December 1995
