Goal	Date	Venue	Score	Result	Competition
1.	September 29, 2006	José Pachencho Romero , Maracaibo , Venezuela	1–0	1-0	Friendly
2.	February 7, 2007	José Pachencho Romero , Maracaibo , Venezuela	2–0	2-0	Friendly
3.	February 28, 2007	Qualcomm Stadium , San Diego , United States	3–1	3-1	Friendly
4.	May 25, 2007	Metropolitano de Mérida , Mérida , Venezuela	2–0	2-1	Friendly
5.	June 30, 2007	Pueblo Nuevo , San Cristóbal , Venezuela	2–0	2-0	2007 Copa América
6.	November 20, 2007	Pueblo Nuevo , San Cristóbal , Venezuela	1–1	5-3	2010 FIFA World Cup qualification
7.	November 20, 2007	Pueblo Nuevo , San Cristóbal , Venezuela	2–2	5-3	2010 FIFA World Cup qualification
8.	September 8, 2007	Polideportivo Cachamay , Puerto Ordaz , Venezuela	1–2	3-2	Friendly
9.	June 9, 2008	Ergilio Hato , Willemstad , Netherlands Antilles	0–1	0-1	Friendly
10.	March 16, 2011	Estadio del Bicentenario , San Juan, Argentina	1–1	4-1	Friendly
11.	June 11, 2011	Sam Boyd Stadium , Las Vegas , United States	0–2	0-3	Friendly
