ISLAND	CITY / TOWN	ICAO	IATA	AIRPORTNAME
Boa Vista	Rabil	GVBA	BVC	Aristides Pereira International Airport
Esperadinha	Brava	GVBR	BVR	Esperadinha Airport
Fogo	São Filipe	GVSF	SFL	São Filipe Airport
Maio	Vila do Maio	GVMA	MMO	Maio Airport
Mosteiros	São Filipe	GVMT	MTI	Mosteiros Airport
Sal	Espargos	GVAC	SID	Amílcar Cabral International Airport
Santiago	Praia	GVNP	RAI	Praia International Airport
Santo Antão	Ponta do Sol	GVAN	NTO	Agostinho Neto Airport
São Nicolau	Preguiça	GVSN	SNE	Preguiça Airport
São Vicente	São Pedro	GVSV	VXE	Cesária Évora Airport
