Place	Player	Country	Score	To par
1	Tiger Woods	United States	70-66-65=201	−15
2	Costantino Rocca	Italy	71-69-70=210	−6
3	Paul Stankowski	United States	68-74-69=211	−5
T4	Tom Kite	United States	77-69-66=212	−4
T4	Tom Watson	United States	75-68-69=212	−4
T6	Colin Montgomerie	Scotland	72-67-74=213	−3
T6	Jeff Sluman	United States	74-67-72=213	−3
8	Fred Couples	United States	72-69-73=214	−2
9	José María Olazábal	Spain	71-70-74=215	−1
T10	Fred Funk	United States	73-74-69=216	E
T10	Justin Leonard	United States	76-69-71=216	E
T10	Jesper Parnevik	Sweden	73-72-71=216	E
T10	Tommy Tolles	United States	72-72-72=216	E
