Date	Venue	Opponents	Score	Round
2005-11-24	Aalborg Stadion	AaB	3-1	Group 3
2005-11-27	Södertälje Fotbollsarena	Göteborg	0-1	Group 3
2005-12-08	Ullevaal	Lyn	3-1	Group 3
2005-12-13	Södertälje Fotbollsarena	AaB	3-1	Group 3
2006-02-12	Ullevi	Göteborg	0-2	Group 3
2006-02-16	Södertälje Fotbollsarena	Lyn	1-1	Group 3
2006-02-23	Södertälje Fotbollsarena	Vålerenga	2-1	Quarterfinal 1
2006-03-09	Tønsberg Gressbane	Vålerenga	3-1	Quarterfinal 2
2006-03-16	Södertälje Fotbollsarena	Lillestrøm	1-3	Semifinal 1
2006-03-26	Åråsen	Lillestrøm	0-1	Semifinal 2
