Date	Opponent#	Site	Result	Attendance
09/22/1945	Missouri	Memorial Stadium • Minneapolis, MN	W34-0	34,246
10/06/1945	at Nebraska	Memorial Stadium • Lincoln, NE	W61-7	25,000
10/13/1945	Fort Warren	Memorial Stadium • Minneapolis, MN	W14-0	32,465
10/20/1945	Northwestern	Memorial Stadium • Minneapolis, MN	W30-7	55,940
10/27/1945	12 Ohio State	Memorial Stadium • Minneapolis, MN	L7-20	56,000
11/03/1945	at 10 Michigan	Michigan Stadium • Ann Arbor, MI	L0-26	84,472
11/10/1945	Indiana	Memorial Stadium • Minneapolis, MN	L0-49	41,400
11/17/1945	at Iowa	Iowa Stadium • Iowa City, IA	L19-20	13,880
11/24/1945	Wisconsin	Memorial Stadium • Minneapolis, MN	L12-26	34,800
*Non-conference game. Homecoming.	*Non-conference game. Homecoming.	*Non-conference game. Homecoming.	*Non-conference game. Homecoming.	*Non-conference game. Homecoming.
