Date	Opponent	Venue	Result	Attendance
13 August 1988	Hamilton Academical	A	2–0	10,500
20 August 1988	Hibernian	H	0–0	41,955
27 August 1988	Celtic	H	5–1	42,858
3 September 1988	Motherwell	A	2–0	20,112
17 September 1988	Heart of Midlothian	A	2–1	25,501
24 September 1988	St. Mirren	H	2–1	35,523
27 September 1988	Dundee United	A	1–0	20,071
1 October 1988	Dundee	H	2–0	40,768
8 October 1988	Aberdeen	A	1–2	23,370
12 October 1988	Hibernian	A	1–0	26,000
29 October 1988	St. Mirren	A	1–1	20,903
1 November 1988	Heart of Midlothian	H	3–0	36,505
5 November 1988	Motherwell	H	2–1	36,060
12 November 1988	Celtic	A	1–3	60,113
16 November 1988	Hamilton Academical	H	3–1	33,684
19 November 1988	Dundee	A	0–0	16,514
26 November 1988	Aberdeen	H	1–0	42,239
3 December 1988	Dundee United	H	0–1	39,123
10 December 1988	Heart of Midlothian	A	0–2	26,424
17 December 1988	Hibernian	H	1–0	36,672
31 December 1988	Hamilton Academical	A	1–0	10,500
3 January 1989	Celtic	H	4–1	42,515
7 January 1989	Motherwell	A	1–2	19,275
14 January 1989	Aberdeen	A	2–1	23,000
21 January 1989	Dundee	H	3–1	43,202
11 February 1989	Dundee United	A	1–1	22,019
25 February 1989	St. Mirren	H	3–1	39,021
11 March 1989	Hamilton Academical	H	3–0	35,733
25 March 1989	Hibernian	A	1–0	23,321
1 April 1989	Celtic	A	2–1	60,171
8 April 1989	Motherwell	H	1–0	33,782
22 April 1989	St. Mirren	A	2–0	22,096
29 April 1989	Heart of Midlothian	H	4–0	42,856
2 May 1989	Dundee United	H	2–0	39,068
6 May 1989	Dundee	A	2–1	14,889
13 May 1989	Aberdeen	H	0–3	42,480
