Game	Date	Opponent	Result	Eagles points	Opponents	Record	Attendance
1	Sept. 4	at Tampa Bay Buccaneers	Win	41	14	1–0	43,502
2	Sept. 11	Cincinnati Bengals	Loss	24	28	1–1	66,459
3	Sept. 18	at Washington Redskins	Loss	10	17	1–2	53,920
4	Sept. 25	at Minnesota Vikings	Loss	21	23	1–3	56,012
5	Oct. 2	Houston Oilers	Win	32	23	2–3	64,692
6	Oct. 10	New York Giants	Win	24	13	3–3	63,736
7	Oct. 16	at Cleveland Browns	Loss	3	19	3–4	78,787
8	Oct. 23	Dallas Cowboys	Win	24	23	4–4	66,309
9	Oct. 30	Atlanta Falcons	Loss	24	27	4–5	60,091
10	Nov. 6	Los Angeles Rams	Win	30	24	5–5	65,624
11	Nov. 13	at Pittsburgh Steelers	Win	27	26	6–5	46,026
12	Nov. 20	at New York Giants	Win (OT)	23	17	7–5	43,621
13	Nov. 27	Phoenix Cardinals	Win	31	21	8–5	57,918
14	Dec. 4	Washington Redskins	Loss	19	20	8–6	65,947
15	Dec. 10	at Phoenix Cardinals	Win	23	17	9–6	54,832
16	Dec. 18	at Dallas Cowboys	Win	23	7	10–6	46,131
