Institution	Wins	Loss	Home Wins	Home Losses	Away Wins	Away Losses	Neutral Wins	Neutral Losses
Illinois Fighting Illini	7	7	4	2	3	2	0	3
Indiana Hoosiers	5	7	2	3	2	4	1	0
Iowa Hawkeyes	2	10	2	3	0	5	0	2
Michigan Wolverines	5	7	3	3	1	4	1	0
Michigan State Spartans	6	7	5	1	1	5	0	1
Minnesota Golden Gophers	6	8	4	3	2	5	0	0
Nebraska Cornhuskers	1	1	0	1	1	0	0	0
Northwestern Wildcats	6	8	4	3	2	5	0	0
Ohio State Buckeyes	6	6	4	2	2	3	0	1
Penn State Nittany Lions	5	7	2	4	3	3	0	0
Purdue Boilermakers	6	6	4	2	2	4	0	0
Wisconsin Badgers	6	8	4	2	1	6	1	0
Overall	61	82	38	29	20	46	3	7
