Name	Latitude	Longitude	Diameter (km)	Year named
Aikhylu Chasma	32.0N	292.0E	300.0	1997
Aranyani Chasma	69.3N	74.4E	718.0	1985
Ardwinna Chasma	21.0N	197.0E	500.0	1997
Artemis Chasma	41.2S	138.5E	3,087.0	1982
Artio Chasma	35.5S	39.0E	450.0	1997
Baba-Jaga Chasma	53.2N	49.5E	580.0	1985
Britomartis Chasma	33.0S	130.0E	1,000.0	1994
Chang Xi Chasmata	59.0S	17.0E	220.0	1997
Chondi Chasma	18.5S	230.0E	1,000.0	2003
Dali Chasma	17.6S	167.0E	2,077.0	1982
Daura Chasma	73.8N	53.8E	729.0	1985
Devana Chasma	16.0N	285.0E	4,600.0	1982
Dewi Ratih Chasma	6.5S	359.7E	1,000.0	2000
Diana Chasma	14.8S	154.8E	938.0	1982
Dziwica Chasma	16.5S	235.0E	1,300.0	2003
Gamsilg Chasma	46.0S	64.0E	600.0	1997
Ganis Chasma	14.5N	194.0E	615.0	1982
Geyaguga Chasma	56.5S	70.0E	800.0	1997
Gui Ye Chasma	9.0S	337.1E	210.0	1997
Hanghepiwi Chasma	48.5S	18.0E	1,100.0	1997
Hanwi Chasma	10.5N	247.0E	1,800.0	2006
Hecate Chasma	18.2N	254.3E	3,145.0	1982
Heng-o Chasma	6.6N	355.5E	734.0	1982
Hina Chasma	63.7N	20.0E	415.0	1991
Ix Chel Chasma	10.0S	73.4E	503.0	1982
Jana Chasma	12.2S	117.9E	650.0	2003
Juno Chasma	30.5S	111.1E	915.0	1982
Kaygus Chasmata	49.6N	52.1E	503.0	1985
Kicheda Chasma	2.5S	213.0E	1,500.0	2003
Kokomikeis Chasma	0.0N	85.0E	1,000.0	1997
Kottravey Chasma	30.5N	77.9E	744.0	1985
Kov-Ava Chasma	58.8S	21.8E	470.0	1997
Kozhla-Ava Chasma	56.2N	50.6E	581.0	1985
Kuanja Chasma	12.0S	99.5E	890.0	1982
Lasdona Chasma	69.3N	36.8E	697.0	1985
Latona Chasma	26.0N	267.5E	530.0	1997
Lesavka Chasma	0.8S	215.0E	800.0	2003
Medeina Chasma	46.2N	89.3E	606.0	1985
Mežas-Mate Chasma	51.0N	50.7E	506.0	1985
Misne Chasma	78.3N	316.5E	610.0	1985
Mist Chasma	39.5N	247.3E	244.0	1997
Morana Chasma	68.9N	24.6E	317.0	1985
Mots Chasma	51.9N	56.1E	464.0	1985
Nang-byon Chasma	4.0N	316.5E	450.0	1997
Olapa Chasma	42.0S	208.5E	650.0	1997
Parga Chasmata	20.0S	255.0E	11,000.0	1982
Pinga Chasma	20.0S	287.0E	500.0	1997
Quilla Chasma	23.7S	127.3E	973.0	1982
Rabie Chasma	10.5S	267.0E	950.0	2000
Ralk-umgu Chasma	15.0S	106.0E	840.0	2003
Reitia Chasma	51.5S	100.0E	400.0	1997
Seo-Ne Chasma	63.5S	26.0E	430.0	1997
Sutkatyn Chasmata	64.0S	11.0E	350.0	1997
Tellervo Chasma	60.0S	125.0E	600.0	1997
Tkashi-mapa Chasma	13.0N	206.0E	1,100.0	1997
Tsects Chasma	61.6S	35.0E	600.0	1997
Varz Chasma	71.3N	27.0E	346.0	1985
Vir-ava Chasma	16.5S	124.0E	1,700.0	1982
Vires-Akka Chasma	75.6N	341.6E	742.0	1985
Xaratanga Chasma	54.0S	70.0E	1,300.0	1997
Zewana Chasma	9.0N	212.0E	900.0	1997
Žverine Chasma	18.5N	271.0E	1,300.0	1997
