Blocks	Opponent	Home/Away	Minutes played	Points	Rebounds	Assists
11	Detroit Pistons	Away	46	29	21	2
11	Detroit Pistons	Home	43	27	16	4
11	Kansas City Kings	Home	41	25	15	3
10 (OT)	Detroit Pistons	Home	53	19	16	5
10 (OT)	Atlanta Hawks	Home	49	39	23	5
10	Atlanta Hawks	Home	39	28	15	2
10	Detroit Pistons	Home	35	19	10	0
9	Phoenix Suns	Away	39	18	17	2
9	Milwaukee Bucks	Away	45	30	20	5
9	Portland Trail Blazers	Home	46	41	20	3
9	Phoenix Suns	Home	26	28	12	1
9	Golden State Warriors	Home	40	40	19	3
9	New Orleans Jazz	Away	48	34	16	6
9	Chicago Bulls	Away	44	18	10	8
9	Indiana Pacers	Away	40	25	13	8
