Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K201ER	88.1	Holbrook, Arizona	50	D	FCC
K210DV	89.9	De Queen, Arkansas	250	D	FCC
W206BM	89.1	Alma, Georgia	55	D	FCC
W266BH	101.1	Buford, Georgia	27	D	FCC
W206BT	89.1	Douglas, Georgia	120	D	FCC
W206BP	89.1	Dublin, Georgia	38	D	FCC
W208BE	89.5	Tallapoosa, Georgia	10	D	FCC
K246BH	97.1	Burley, Idaho	250	D	FCC
K208FB	89.5	Burley, Idaho	140	D	FCC
K205EZ	88.9	Boone, Iowa	185	D	FCC
W203BI	88.5	Bowling Green, Kentucky	10	D	FCC
K208EW	89.5	Lovelock, Nevada	250	D	FCC
K205EX	88.9	Clovis, New Mexico	60	D	FCC
K219DR	91.7	Clovis, New Mexico	98	D	FCC
K204DB	88.7	Portales, New Mexico	250	D	FCC
K204FH	88.7	Brookings, South Dakota	44	D	FCC
K206DQ	89.1	Yankton, South Dakota	45	D	FCC
K219KT	91.7	Omak, Washington	4	D	FCC
K272EC	102.3	Walla Walla, Washington	115	D	FCC
K213EL	90.5	Laramie, Wyoming	13	D	FCC
