Date	H/A/N	Opponent	Score	Record
November 5	H	Phoenix Suns	87-107	2-9
November 7	H	Portland Trail Blazers	120-99	3-9
November 11	A	Seattle SuperSonics	91-110	3-10
November 12	A	Portland Trail Blazers	106-104	4-10
November 14	A	Phoenix Suns	105-119	4-11
November 16	A	Los Angeles Lakers	90-108	4-12
November 19	A	Portland Trail Blazers	105-118	4-13
November 21	H	Boston Celtics	105-128	4-14
November 23	H	Baltimore Bullets	104-102	5-14
November 26	H	Cincinnati Royals	128-114	6-14
November 27	A	Atlanta Hawks	103-95	7-14
November 28	H	Philadelphia 76ers	124-120	8-14
