Round	Pick	Player	Position	Nationality	College
1	3	Elmore Smith	Center	United States	Kentucky State
2	19	Fred Hilton	Guard	United States	Grambling
2	26	Amos Thomas	Guard	United States	Southwestern Oklahoma
2	30	Spencer Haywood	Forward	United States	Detroit Mercy
4	53	Jimmy O'Brien	Guard	United States	Boston College
5	70	Garry Nelson	Guard	United States	Duquesne
6	87	Glen Summors	Guard	United States	Gannon
7	104	Randy Smith	Guard	United States	Buffalo State
8	121	Craig Love	Guard	United States	Ohio
9	138	Gary Stewart	Guard	United States	Canisius
10	154	Don Ward	Guard	United States	Colgate
11	170	Bill Warner	Guard	United States	Arizona
12	184	Butch Webster	Guard	United States	LSU
13	197	Pete Smith	Guard	United States	Valdosta
14	209	Ray Lavender	Guard	United States	Drury
15	218	William Chatmon	Guard	United States	Baylor
16	226	James Douglas	Guard	United States	Memphis
17	230	Nelson Isley	Guard	United States	LSU
18	233	Joey Meyer	Guard	United States	DePaul
