Round	Pick	Overall	Name	Position	College
1	2	2	Norm Snead	QB	Wake Forest
1	3	3	Joe Rutgens	DT	Illinois
3	11	39	Jim Cunningham	FB	Pittsburgh
6	2	72	Joe Krakoski	DB	Illinois
6	3	73	John O'Day	OT	Miami (FL)
7	3	87	Jim Kerr	DB	Penn State
8	3	101	Charley Barnes	E	Northeast Louisiana [q ]
9	3	115	Joel Arrington	RB	Duke
11	3	143	Riley Mattson	OT	Oregon
12	3	157	Bob Coolbaugh	WR	Richmond
13	3	171	Doug Elmore	P	Mississippi
14	3	185	Doyle Schick	CB	Kansas
15	3	199	Bob Johnson	E	Michigan
16	3	213	Ron Petty	OT	Louisville
17	3	227	Joe Bellino	HB	Navy
18	3	241	George Tolford	OT	Ohio State
19	3	255	Tony Romeo	TE	Florida State
20	3	269	Mike Ingram	G	Ohio State
