Date	Venue	Score	Result	Competition
1996-08-11	Amman International Stadium , Amman	2–0	3–0	1996 AFC Asian Cup qualification
1996-12-05	Al-Maktoum Stadium , Dubai	1–0	2–1	1996 AFC Asian Cup
1997-05-23	Lahore Stadium , Lahore	1–0	6–2	1998 FIFA World Cup qualifiers
1997-05-23	Lahore Stadium , Lahore	4–2	6–2	1998 FIFA World Cup qualifiers
1997-06-20	Al Shaab Stadium , Baghdad	4–1	6–1	1998 FIFA World Cup qualifiers
1999-08-07	Pamir Stadium , Dushanbe	2–1	5–1	2000 AFC Asian Cup qualification
1999-08-19	Amman International Stadium , Amman	1–0	2–0	1999 Pan Arab Games
1999-08-23	Amman International Stadium , Amman	1–0	3–0	1999 Pan Arab Games
1999-08-23	Amman International Stadium , Amman	2–0	3–0	1999 Pan Arab Games
1999-08-29	Amman International Stadium , Amman	2–1	3–1	1999 Pan Arab Games
1999-08-31	Amman International Stadium , Amman	1–4	4–4	1999 Pan Arab Games
1999-08-31	Amman International Stadium , Amman	2–4	4–4	1999 Pan Arab Games
2000-05-23	King Abdullah International Stadium , Amman	2–1	2–1	2000 West Asian Football Federation Championship
2003-08-13	Azadi Stadium , Tehran	1–0	1–0	LG Cup
2003-10-20	Bahrain National Stadium , Manama	5–1	5–1	2004 Asian Cup qualifiers
2004-06-09	King Abdullah International Stadium , Amman	3–0	6–1	2006 FIFA World Cup qualifiers
