Class	Wheel arrangement	Manufacturer	Year made	Quantity made	Quantity preserved
4-4-0 — ooOO — American	4-4-0 — ooOO — American	4-4-0 — ooOO — American	4-4-0 — ooOO — American	4-4-0 — ooOO — American	4-4-0 — ooOO — American
C	4-4-0	Baldwin	1886–1887	6	0
C-1	4-4-0	New Jersey	1857	1	0
C-1	4-4-0	New Jersey	1862	1	0
V	4-4-0	New Jersey	1855	1	0
C-3	4-4-0	Rhode Island	1884	2	0
C-4/C-5	4-4-0	Baldwin	1886–1887	44	0
C-5-s	4-4-0	MStP&SSteM (rebuilder)	1928–1931 (rebuilt)	9	0
C-20	4-4-0	Schenectady	1882	2	0
C-21	4-4-0	Schenectady	1885	12	0
C-22	4-4-0	Schenectady	1886	11	0
C-23	4-4-0	Baldwin	1886–1887	12	0
C-24	4-4-0	Brooks	1902 (rebuilt)	1	0
C-25	4-4-0	Schenectady	1887	2	0
