Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	August 20, 1978	Canadian Open , Canada	Hard	Chris O'Neil	Regina Maršíková Pam Teeguarden	5–7, 7–6, 2–6
Runner-up	August 12, 1979	US Clay Courts , USA	Clay	Penny Johnson	Kathy Jordan Anne Smith	1–6, 0–6
Runner-up	April 13, 1980	Hilton Head , South Carolina, USA	Clay	Candy Reynolds	Kathy Jordan Anne Smith	2–6, 1–6
Winner	August 10, 1980	US Clay Courts , USA	Clay	Anne Smith	Virginia Ruzici Renáta Tomanová	4–6, 6–3, 6–4
Winner	October 17, 1980	Phoenix, Arizona , USA	Hard	Pam Shriver	Ann Kiyomura Candy Reynolds	6–0, 6–4
Runner-up	November 16, 1980	Tampa , Florida, USA	Hard	Anne Smith	Rosie Casals Candy Reynolds	6–7, 5–7
Winner	April 26, 1981	Amelia Island , Florida, USA	Clay	Kathy Jordan	JoAnne Russell Pam Shriver	6–3, 5–7, 7–6
Winner	May 10, 1981	Perugia , Italy	Clay	Candy Reynolds	Chris Evert-Lloyd Virginia Ruzici	7–5, 6–1
Runner-up	May 17, 1981	Lugano , Switzerland	Clay	Candy Reynolds	Rosalyn Fairbank Tanya Harford	6–2, 1–6, 4–6
Runner-up	June 7, 1981	French Open , France	Clay	Candy Reynolds	Rosalyn Fairbank Tanya Harford	1–6, 3–6
Runner-up	August 9, 1981	US Clay Courts , USA	Clay	Sue Barker	JoAnne Russell Virginia Ruzici	2–6, 2–6
Runner-up	October 18, 1981	Deerfield Beach , Florida, USA	Hard	Pam Shriver	Mary-Lou Daniels Wendy White	1–6, 6–3, 5–7
Winner	May 16, 1982	Lugano , Switzerland	Clay	Candy Reynolds	JoAnne Russell Virginia Ruzici	6–2, 6–4
Winner	August 1, 1982	San Diego, California , USA	Hard	Kathy Jordan	Patricia Medrado Claudia Monteiro	6–3, 5–7, 7–6
Winner	October 17, 1982	Tampa , Florida, USA	Hard	Ann Kiyomura	Mary-Lou Daniels Wendy White	6–2, 6–4
Runner-up	December 19, 1982	East Rutherford , New Jersey, USA	Hard	Candy Reynolds	Martina Navratilova Pam Shriver	4–6, 5–7
Runner-up	February 6, 1983	Palm Beach , Florida, USA	Clay	Kathy Jordan	Barbara Potter Sharon Walsh	4–6, 6–4, 2–6
Runner-up	March 6, 1983	Nashville , Tennessee, USA	Hard	Alycia Moulton	Rosalyn Fairbank Candy Reynolds	4–6, 6–7
Winner	March 14, 1983	Pittsburgh , Pennsylvania, USA	Carpet	Candy Reynolds	Iwona Kuczyńska Trey Lewis	6–2, 6–2
Runner-up	April 10, 1983	Hilton Head , South Carolina, USA	Clay	Andrea Jaeger	Martina Navratilova Candy Reynolds	2–6, 3–6
Runner-up	January 9, 1984	Nashville , Tennessee, USA	Hard	Mary-Lou Daniels	Sherry Acker Candy Reynolds	7–5, 6–7, 6–7
Winner	August 11, 1984	US Clay Courts , USA	Clay	Beverly Mould	Elise Burgin JoAnne Russell	6–2, 7–5
Winner	September 23, 1984	San Diego, California , USA	Hard	Betsy Nagelsen	Terry Holladay Iwona Kuczyńska	6–2, 6–4
Winner	October 28, 1984	Brighton , England	Carpet	Alycia Moulton	Barbara Potter Sharon Walsh	6–7, 6–3, 7–5
Winner	January 6, 1985	Port St. Lucie, Florida , USA	Hard	Betsy Nagelsen	Christiane Jolissaint Marcella Mesker	6–3, 6–4
Runner-up	July 27, 1985	US Clay Courts , USA	Clay	Penny Barg	Katerina Maleeva Manuela Maleeva	6–3, 3–6, 6–4
