Game	December	Opponent	Score	Record
21	2	@ Pittsburgh Penguins	4 - 1	10-8-3
22	3	Los Angeles Kings	4 - 2	11-8-3
23	6	Detroit Red Wings	3 - 3	11-8-4
24	7	@ Boston Bruins	3 - 1	11-9-4
25	9	@ Detroit Red Wings	3 - 2	11-10-4
26	10	Montreal Canadiens	3 - 2	12-10-4
27	13	@ Chicago Black Hawks	5 - 2	12-11-4
28	16	@ Toronto Maple Leafs	4 - 2	12-12-4
29	17	St. Louis Blues	5 - 3	13-12-4
30	20	Detroit Red Wings	2 - 0	14-12-4
31	23	Boston Bruins	4 - 0	14-13-4
32	25	@ Philadelphia Flyers	3 - 1	15-13-4
33	27	Minnesota North Stars	3 - 3	15-13-5
34	30	Chicago Black Hawks	3 - 3	15-13-6
35	31	Toronto Maple Leafs	4 - 0	16-13-6
