Game	February	Opponent	Score	Record
49	2	Boston Bruins	2 - 0	31-10-8
50	3	@ Buffalo Sabres	4 - 2	32-10-8
51	5	@ St. Louis Blues	6 - 5	32-11-8
52	6	Toronto Maple Leafs	2 - 2	32-11-9
53	9	Chicago Black Hawks	4 - 1	33-11-9
54	12	@ Pittsburgh Penguins	8 - 3	34-11-9
55	13	Los Angeles Kings	4 - 2	35-11-9
56	15	@ Vancouver Canucks	5 - 1	36-11-9
57	17	@ Los Angeles Kings	6 - 4	37-11-9
58	18	@ California Golden Seals	2 - 2	37-11-10
59	20	Detroit Red Wings	4 - 3	38-11-10
60	22	@ Montreal Canadiens	7 - 3	39-11-10
61	23	Philadelphia Flyers	4 - 3	40-11-10
62	27	St. Louis Blues	2 - 0	41-11-10
