Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
58	March 1	@ Atlanta	W 88–87 (OT)	LeBron James (26)	Žydrūnas Ilgauskas (11)	LeBron James (11)	Philips Arena 19,639	46–12
59	March 2	@ Miami	W 107–100 (OT)	LeBron James (42)	Žydrūnas Ilgauskas (15)	Maurice Williams (7)	American Airlines Arena 19,600	47–12
60	March 4	Milwaukee	W 91–73 (OT)	LeBron James (23)	Anderson Varejão (9)	LeBron James , Delonte West (4)	Quicken Loans Arena 20,562	48–12
61	March 6	@ Boston	L 94–105 (OT)	Maurice Williams (26)	LeBron James , Delonte West (6)	Delonte West (8)	TD Banknorth Garden 18,624	48–13
62	March 7	Miami	W 99–89 (OT)	Maurice Williams (29)	LeBron James (10)	LeBron James (12)	Quicken Loans Arena 20,562	49–13
63	March 10	@ L.A. Clippers	W 87–83 (OT)	LeBron James (32)	LeBron James (13)	LeBron James (11)	Staples Center 19,060	50–13
64	March 12	@ Phoenix	W 119–111 (OT)	LeBron James (34)	LeBron James (10)	LeBron James (13)	US Airways Center 18,422	51–13
65	March 13	@ Sacramento	W 126–123 (OT)	LeBron James (51)	Anderson Varejão (12)	LeBron James (9)	ARCO Arena 16,317	52–13
66	March 15	New York	W 98–93 (OT)	Maurice Williams (23)	Anderson Varejão (9)	LeBron James (10)	Quicken Loans Arena 20,562	53–13
67	March 17	Orlando	W 97–93 (OT)	LeBron James (43)	LeBron James (12)	LeBron James (8)	Quicken Loans Arena 20,562	54–13
68	March 19	Portland	W 97–92 (OT)	LeBron James (26)	LeBron James (11)	LeBron James (10)	Quicken Loans Arena 20,562	55–13
69	March 21	Atlanta	W 102–96 (OT)	Maurice Williams (24)	Darnell Jackson , Anderson Varejão (8)	Maurice Williams (7)	Quicken Loans Arena 20,562	56–13
70	March 22	@ New Jersey	W 96–88 (OT)	LeBron James (30)	LeBron James , Anderson Varejão (11)	LeBron James (8)	Izod Center 18,348	57–13
71	March 25	New Jersey	W 98–87 (OT)	LeBron James (22)	Anderson Varejão (11)	LeBron James (11)	Quicken Loans Arena 20,562	58–13
72	March 27	Minnesota	W 107–85 (OT)	LeBron James (25)	LeBron James (12)	LeBron James (7)	Quicken Loans Arena 20,562	59–13
73	March 29	Dallas	W 102–74 (OT)	LeBron James (24)	Joe Smith (13)	LeBron James (12)	Quicken Loans Arena 20,562	60–13
74	March 31	Detroit	W 79–73 (OT)	LeBron James (25)	LeBron James (12)	Delonte West (6)	Quicken Loans Arena 20,562	61–13
