Date	Winning score	To par	Margin of victory	Runner(s)-up
3 Mar 2007	70-70-75=215	−1	Playoff	Russy Gulyanamitta
11 Apr 2007	72-68=140	−4	Playoff	Yueh-Chyn Huang
29 May 2007	68-72=140	−4	2 strokes	Stephanie Sherlock
12 Jan 2008	66-64-66=196	−20	17 strokes	Lee Eun-Kyoung Pornanong Phatlum
17 Jan 2010	69-73-77=219	+3	4 strokes	Wei Yun Jye
12 Mar 2010	74-71-72-66=283	−9	3 strokes	Laura Davies
16 Jan 2011	77-73-68=218	+2	3 strokes	Nam Min-ji
6 Feb 2011	70-67-68-71=276	−16	7 strokes	Eun-Hee Ji Melissa Reid Jiyai Shin
13 Feb 2011	67-66-63-68=264	−24	4 strokes	Nikki Campbell Stacy Lewis
30 Oct 2011	68-66-66=200	−16	7 strokes	Pernilla Lindberg
11 Dec 2011	72-70-68=210	−6	7 strokes	Ryu So-Yeon Jiyai Shin
