Name	Team	Laps	Time/Retired	Grid
Mark Winterbottom	Ford Performance Racing	50	53:34.4946	1
Garth Tander	Holden Racing Team	50	+ 1.6s	3
Jamie Whincup	Team Vodafone	50	+ 4.0s	7
Craig Lowndes	Team Vodafone	50	+ 5.1s	5
Rick Kelly	HSV Dealer Team	50	+ 14.3s	6
Will Davison	Jim Beam Racing	50	+ 14.6s	8
James Courtney	Stone Brothers Racing	50	+ 22.3s	20
Todd Kelly	Jack Daniel's Racing	50	+ 25.0s	9
Steven Richards	Ford Performance Racing	50	+ 25.1s	4
Shane Van Gisbergen	Stone Brothers Racing	50	+ 28.3s	27
Andrew Jones	Brad Jones Racing	50	+ 32.3s	14
Fabian Coulthard	Glenfords Racing	50	+ 32.7s	17
Steven Johnson	Jim Beam Racing	50	+ 33.7s	13
Jason Bright	Britek Motorsport	50	+ 38.7s	29
Greg Murphy	Tasman Motorsport	50	+ 39.2s	12
Michael Caruso	Garry Rogers Motorsport	50	+ 39.7s	28
Marcus Marshall	Britek Motorsport	50	+ 47.7s	22
Andrew Thompson	Paul Weel Racing	50	+ 47.9s	26
Shane Price	Jack Daniel's Racing	50	+ 52.5s	18
Tony D'Alberto	Rod Nash Racing	49	+ 1 lap	21
Michael Patrizi	Ford Rising Stars Racing	49	+ 1 lap	19
Paul Dumbrell	HSV Dealer Team	49	+ 1 lap	15
Lee Holdsworth	Garry Rogers Motorsport	49	+ 1 lap	24
Kayne Scott	Team Kiwi Racing	49	+ 1 lap	23
Paul Morris	Team Sirromet Wines	45	+ 5 laps	16
Russell Ingall	Supercheap Auto Racing	17	Steering	11
Cameron McConville	Brad Jones Racing	17	Collision	10
Mark Skaife	Holden Racing Team	0	Collision	2
Jason Richards	Tasman Motorsport	0	Engine	25
