Game	Date	Team	Score	High points	High assists	Location Attendance	Record
2	November 1	@ Houston	L 77–89 (OT)	Kevin Durant (26)	Earl Watson (8)	Toyota Center 16,996	0–2
3	November 2	Minnesota	W 88–85 (OT)	Kevin Durant (18)	Earl Watson (4)	Ford Center 18,163	1–2
4	November 5	Boston	L 83–96 (OT)	Kevin Durant (17)	Earl Watson (5)	Ford Center 19,136	1–3
5	November 7	@ Utah	L 97–104 (OT)	Kevin Durant (24)	Kevin Durant , Earl Watson (3)	EnergySolutions Arena 19,911	1–4
6	November 9	Atlanta	L 85–89 (OT)	Kevin Durant (20)	Earl Watson (6)	Ford Center 18,231	1–5
7	November 10	@ Indiana	L 99–107 (OT)	Kevin Durant (37)	Earl Watson (9)	Conseco Fieldhouse 10,165	1–6
8	November 12	Orlando	L 92–109 (OT)	Jeff Green (25)	Earl Watson (8)	Ford Center 18,185	1–7
9	November 14	@ New York	L 106–116 (OT)	Kevin Durant (23)	Earl Watson (8)	Madison Square Garden 18,008	1–8
10	November 15	@ Philadelphia	L 85–110 (OT)	Jeff Green (21)	Jeff Green , Russell Westbrook (4)	Wachovia Center 13,385	1–9
11	November 17	Houston	L 89–100 (OT)	Kevin Durant (29)	Kevin Durant , Earl Watson (4)	Ford Center 18,145	1–10
12	November 19	L.A. Clippers	L 88–108 (OT)	Kevin Durant (18)	Earl Watson (5)	Ford Center 18,312	1–11
13	November 21	New Orleans	L 80–105 (OT)	Kevin Durant (17)	Earl Watson (4)	Ford Center 19,136	1–12
14	November 22	@ New Orleans	L 97–109 (OT)	Kevin Durant (30)	Russell Westbrook (11)	New Orleans Arena 16,023	1–13
15	November 25	Phoenix	L 98–99 (OT)	Kevin Durant (29)	Earl Watson (13)	Ford Center 19,136	1–14
16	November 26	@ Cleveland	L 82–117 (OT)	Chris Wilcox (14)	Russell Westbrook , Kyle Weaver (5)	Quicken Loans Arena 19,753	1–15
17	November 28	Minnesota	L 103–105 (OT)	Kevin Durant , Jeff Green (22)	Russell Westbrook (8)	Ford Center 18,229	1–16
18	November 29	@ Memphis	W 111–103 (OT)	Kevin Durant (30)	Earl Watson (7)	FedExForum 11,977	2–16
