Date	Distance	Handler	Event	Location
7 July 2000	ft4in (m)	Beth Gutteridge	ESPN Great Outdoor Games	Lake Placid, NY
8 July 2001	ft1in (m)	Mike Wallace	ESPN Great Outdoor Games	Lake Placid, NY
20 February 2002	ft3in (m)	Mike Jackson	Indianapolis Boat, Sport & Travel Show	Indianapolis, IN
1 May 2002	ft4in (m)	John Kline	ESPN2 Super Retriever Series	Northfield, MN
6 July 2002	ft6in (m)	Mike Jackson	ESPN Great Outdoor Games	Lake Placid, NY
7 August 2005	ft5in (m)	Kevin Meese	Bass Pro Shops	Baltimore, MD
21 August 2005	ft7in (m)	Kevin Meese	Big Nickle time Cabela's	Hamburg, PA
9 October 2005	ft10in (m)	Kevin Meese	Bass Pro Shops	Baltimore, MD
30 May 2010	ft11.59in (m)	Rande Murphy	Super Retriever Series Crown Championship	Little Rock, AR
11 July 2010	ft1in (m)	Melissa Ness	2010 UKC Premier	Richmond, IN
29 May 2011	ft7in (m)	Tony Lampert	Super Retriever Series Crown Championship	Little Rock, AR
07 Oct 2011	ft11in (m)	Tony Lampert	David Letterman Show, October 7 2011	New York, NY
