Res.	Record	Opponent	Method	Round	Time	Location
Loss	9-5	Bryc Palmer	KO (punch)	1	0:28	Anchorage, Alaska , United States
Win	9-4	Tommie Matthews	Submission (armbar)	1	1:40	Wasilla, Alaska , United States
Win	8-4	Kalei Talamoni	Decision (unanimous)	3	5:00	Anchorage, Alaska , United States
Loss	7-4	Julio Paulino	TKO (punches)	2	2:26	Anchorage, Alaska, United States
Win	7-3	Nic Herron-Web	Decision (unanimous)	3	N/A	Anchorage, Alaska, United States
Loss	6-3	Ricky Shivers	Submission (rear-naked choke)	2	N/A	Anchorage, Alaska, United States
Loss	6-2	Rob Kimmons	Submission (guillotine choke)	1	3:58	Nevada , United States
Loss	6-1	Ricardo Almeida	Submission (guillotine choke)	1	1:08	Nevada , United States
Win	6-0	Oscar Granado	TKO	1	0:53	Anchorage, Alaska, United States
Win	5-0	Dison Ittu	TKO	1	N/A	Alaska, United States
Win	4-0	Matt Warrington	TKO (referee stoppage)	1	2:32	N/A
Win	3-0	Luke Pierce	Submission (rear naked choke)	2	1:01	Anchorage, Alaska, United States
Win	2-0	Cordero Gonzales	Decision (unanimous)	3	5:00	Anchorage, Alaska, United States
Win	1-0	Max Rueter	Submission	2	2:39	Anchorage, Alaska, United States
