Rank	Country	Miss United Continent	Virreina	1st RU	2nd RU	3rd RU	4th RU	Semifinalists	Total
1	Dominican Republic	2	1	0	0	0	0	2	5
2	Ecuador	2	0	2	0	0	0	1	5
3	Mexico	1	1	2	0	0	0	1	5
4	Brazil	1	1	1	0	0	0	3	6
5	Colombia	1	0	0	0	0	0	3	4
6	Peru	1	0	0	0	0	0	2	3
7	Venezuela	0	1	1	0	0	0	4	6
8	Panama	0	1	0	0	0	1	2	4
9	Puerto Rico	0	1	0	0	0	0	1	2
10	Uruguay	0	1	0	0	1	0	0	2
11	India	0	1	0	0	0	0	0	1
12	Chile	0	0	1	0	0	0	1	2
13	Argentina	0	0	1	0	0	0	0	1
14	Belgium	0	0	0	1	0	0	0	1
15	Canada	0	0	0	0	0	0	1	1
15	Honduras	0	0	0	0	0	0	1	1
15	Costa Rica	0	0	0	0	0	0	1	1
15	Paraguay	0	0	0	0	0	0	1	1
15	Australia	0	0	0	0	0	0	1	1
