Round	Date	Opponent	Venue	Result
01	9 August 2008	Rushden & Diamonds	Home	L 0-1
02	12 August 2008	Stevenage Borough	Away	W 1-3
03	16 August 2008	Oxford United	Away	L 6-3
04	23 August 2008	Cambridge United	Home	L 0-3
05	25 August 2008	Grays Athletic	Away	W 0-1
06	30 August 2008	Altrincham	Home	W 1-0
07	2 September 2008	Forest Green Rovers	Home	W 1-0
08	6 September 2008	Mansfield Town	Away	L 3-1
09	13 September 2008	Histon	Home	D 1-1
10	20 September 2008	Torquay United	Away	L 2-0
11	23 September 2008	Ebbsfleet United	Away	D 1-1
12	27 September 2008	Kidderminster	Home	L 2-3
13	4 October 2008	Weymouth	Away	L 3-2
14	7 October 2008	Kettering	Home	L 1-2
15	12 October 2008	Stevenage Borough	Home	W 2-1
16	18 October 2008	Barrow	Away	L 3-1
17	1 November 2008	Northwich Victoria	Away	W 1-2
18	15 November 2008	Woking	Home	D 0-0
19	22 November 2008	Rushden & Diamonds	Away	L 2-0
20	29 November 2008	Burton Albion	Away	L 2-0
21	6 December 2008	Northwich Victoria	Home	W 4-1
22	9 December 2008	Torquay United	Home	W 4-2
23	20 December 2008	Wrexham	Away	L 5-0
24	26 December 2008	Lewes	Home	W 1-0
25	28 December 2008	Crawley Town	Away	L 1-0
26	1 January 2009	Lewes	Away	W 0-2
27	17 January 2009	Forest Green Rovers	Away	W 1-2
28	24 January 2009	York City	Home	W 2-1
29	27 January 2009	Woking	Away	W 0-4
30	31 January 2009	Mansfield	Home	L 1-2
31	21 February 2009	Histon	Away	D 3-3
32	28 February 2009	Kidderminster Harriers	Away	L 2-0
33	3 March 2009	Oxford United	Home	L 3-0
34	7 March 2009	Wrexham	Home	W 1-0
35	14 March 2009	Kettering Town	Away	W 0-1
36	17 March 2009	Salisbury City	Home	0-0
37	21 March 2009	Burton Albion	Home	1-2
38	28 March 2009	Salisbury City	Away	L 2-0
39	31 March 2009	Crawley Town	Home	W 2-1
40	2 April 2009	Ebbsfleet United	Home	L 0-1
41	4 April 2009	Weymouth	Home	W 3-0
42	7 April 2009	Altrincham	Away	D 2-2
43	11 April 2009	Cambridge United	Away	L 2-1
