PMSC No.	Year	1st Prize	2nd Prize	3rd Prize
13	2011	Ayane Kozasa	/ Elias Goldstein	Vicki Powell
(11)	2008	Dimitri Murrath	Emily Deans	Molly Carr
10	2005	Jennifer Stumm	David Aaron Carpenter David Kim	— not awarded —
9	2003	Che-Yen (Brian) Chen	Teng Li	Nils Mönkemeyer
8	2001	Antoine Tamestit	Ula Žebriūnaitė	— not awarded —
7	1999	Lawrence Power	Roland Glassl	Elizabeth Freivogel
6	1997	Christina Castelli	Rita Porfiris	Karin Brown
5	1995	Catherine Basrak	Joan DerHovsepian	/ Scott Lee
4	1993	Nokuthula Ngwenyama	Kathryn Lockwood	— not awarded —
3	1991	Kirsten Docter	Kin-Fung Leung	— not awarded —
2	1989	Daniel Foster	Ming Pak	Kai Tang
1	1987	Lynne Richburg	Carla-Maria Rodrigues	Paris Anastasiadis
—	1979	Geraldine Walther	Jun Takahira	Patricia McCarty
