Pick #	Brand (to)	Employee (Real name)	Role	Brand (from)
1	SmackDown!	René Duprée ( René Goguen )	Male wrestler	Raw
2	Raw	Shelton Benjamin	Male wrestler	SmackDown!
3	SmackDown!	Mark Jindrak	Male wrestler	Raw
4	Raw	Nidia ( Nidia Guenard )	Diva	SmackDown!
5	SmackDown!	Triple H 1 ( Paul Levesque )	Male Wrestler	Raw
6	Raw	Rhyno ( Terry Gerin )	Male wrestler	SmackDown!
7	SmackDown!	Rob Van Dam ( Robert Szatkowski )	Male wrestler	Raw
8	Raw	Tajiri ( Yoshihiro Tajiri )	Male wrestler	SmackDown!
9	SmackDown!	Theodore Long	Manager	Raw
10	Raw	Edge ( Adam Copeland )	Male wrestler	SmackDown!
11	SmackDown!	Spike Dudley ( Matt Hyson )	Male wrestler	Raw
12	Raw	Paul Heyman 2	General manager	SmackDown!
