Tie no	Home team	Score	Away team	Date
1	Derby County	2–2	Arsenal	26 February 1972
Replay	Arsenal	0–0	Derby County	29 February 1972
2nd replay	Derby County	0–1	Arsenal	13 March 1972
2	Everton	0–2	Tottenham Hotspur	26 February 1972
3	Manchester United	0–0	Middlesbrough	26 February 1972
Replay	Middlesbrough	0–3	Manchester United	29 February 1972
4	Huddersfield Town	4–2	West Ham United	26 February 1972
5	Cardiff City	0–2	Leeds United	26 February 1972
6	Stoke City	4–1	Hull City	26 February 1972
7	Birmingham City	3–1	Portsmouth	26 February 1972
8	Orient	3–2	Chelsea	26 February 1972
