Name	Total	First	Last	Highest rank
Kotonishiki	34	September 1990	September 1999	Sekiwake
Kaiō	32	May 1994	July 2000	Ōzeki
Musōyama	31	March 1994	September 2000	Ōzeki
Hasegawa	30	November 1965	September 1974	Sekiwake
Kotomitsuki	30	January 2001	July 2007	Ōzeki
Akinoshima	27	November 1988	September 2000	Sekiwake
Takamiyama	27	November 1969	September 1982	Sekiwake
Takatōriki	26	May 1991	May 2000	Sekiwake
Wakanosato	26	November 2000	September 2005	Sekiwake
Daikirin	22	November 1966	September 1970	Ōzeki
Tochiazuma II	22	July 1997	January 2005	Ōzeki
Kisenosato	22	July 2006	September 2011	Ōzeki
