Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Atherton Collieries	24	4	4	46	22	+24	36
2	Flixton	24	5	4	58	29	+29	35
3	Maghull	24	2	8	44	29	+15	30
4	Nelson	24	6	6	37	29	+8	30
5	Newton	24	5	8	42	36	+6	27
6	Ford Motors	24	8	7	38	27	+11	26
7	Bacup Borough	24	6	8	27	27	0	26
8	Cheadle Town	24	5	10	33	44	−11	23
9	Daisy Hill	24	7	11	21	42	−21	19 2
10	Padiham	24	8	12	35	39	−4	16
11	Nantwich Town	24	6	13	26	42	−16	16
12	Ashton Town	24	9	11	29	39	−10	15 2
13	Whitworth Valley	24	5	16	17	48	−31	11
