Week	Date	Opponent	Result	Location
1	September 13, 1987	at Indianapolis Colts	W 23–21	Hoosier Dome
2	September 20, 1987	San Francisco 49ers	L 27–26	Riverfront Stadium
–	September 27, 1987	at Los Angeles Rams	canceled	Anaheim Stadium
3	October 4, 1987	San Diego Chargers	L 10–9	Riverfront Stadium
4	October 11, 1987	at Seattle Seahawks	W 17–10	Kingdome
5	October 18, 1987	Cleveland Browns	L 34–0	Riverfront Stadium
6	October 25, 1987	at Pittsburgh Steelers	L 23–20	Three Rivers Stadium
7	November 1, 1987	Houston Oilers	L 31–29	Riverfront Stadium
8	November 8, 1987	Miami Dolphins	L 20–14	Riverfront Stadium
9	November 15, 1987	at Atlanta Falcons	W 16–10	Atlanta-Fulton County Stadium
10	November 22, 1987	Pittsburgh Steelers	L 30–16	Riverfront Stadium
11	November 29, 1987	at New York Jets	L 27–20	The Meadowlands
12	December 6, 1987	Kansas City Chiefs	W 30–27	Riverfront Stadium
13	December 13, 1987	at Cleveland Browns	L 38–24	Cleveland Stadium
14	December 20, 1987	New Orleans Saints	L 41–24	Riverfront Stadium
15	December 27, 1987	at Houston Oilers	L 21–17	Houston Astrodome
