Date	Name	Nationality	Tonnage (GRT)	Fate
24 June 1941	Kongsgaard	Norway	9,467	Damaged
27 June 1941	Maasdam	Netherlands	8,812	Sunk
27 June 1941	Malaya II	United Kingdom	8,651	Sunk
29 June 1941	Hekla	Iceland	1,215	Sunk
22 August 1941	Clonlara	Ireland	1,203	Sunk
22 August 1941	Empire Oak	United Kingdom	484	Sunk
22 August 1941	HMS Zinnia	United Kingdom	900	Sunk
24 October 1941	Alhama	United Kingdom	1,352	Sunk
24 October 1941	Ariosto	United Kingdom	2,176	Sunk
24 October 1941	Carsbreck	United Kingdom	3,670	Sunk
11 February 1942	Victolite	Canada	11,410	Sunk
16 February 1942	Opalia	United Kingdom	6,195	Damaged
3 May 1942	Ocean Venus	United Kingdom	7,174	Sunk
4 May 1942	Eclipse	United Kingdom	9,767	Damaged
5 May 1942	Delisle	USA	3,478	Damaged
8 May 1942	Ohioan	USA	6,078	Sunk
9 May 1942	Lubrafol	Panama	7,138	Sunk
14 May 1942	Potero del Llano	Mexico	4,000	Sunk
19 July 1942	Empire Hawksbill	United Kingdom	5,724	Sunk
19 July 1942	Lavington Court	United Kingdom	5,372	Sunk
19 August 1942	British Consul	United Kingdom	6,940	Sunk
19 August 1942	Empire Cloud	United Kingdom	5,969	Sunk
30 August 1942	Vardaas	Norway	8,176	Sunk
