Name	Hometown	Games	Goals	Assists	Points	Pen. Min.
Doug Hayes	Long Island	48	104	126	230	52
Paul Suggate	Maryland	48	92	127	219	71
John Davis	Montreal	48	79	129	208	16
Ivan Thompson	Boston	46	91	116	207	45
Dave Durante	Quebec	48	89	117	206	22
Brian Tasker	Maryland	48	73	125	198	58
John Grant, Sr.	Philadelphia	47	64	134	198	52
Terry Lloyd	Philadelphia	48	113	56	169	54
Jim J. J. Johnston	Long Island	38	79	87	166	26
Jan Magee	Long Island	47	57	103	160	49
*Bold indicates leader in category	*Bold indicates leader in category	*Bold indicates leader in category	*Bold indicates leader in category	*Bold indicates leader in category	*Bold indicates leader in category	*Bold indicates leader in category
