Res.	Record	Opponent	Method	Event	Round	Time	Location
NC	7–3 (2)	Che Mills	No Contest	UFC on Fuel TV: Barao vs. McDonald	3	5:00	London , England
Win	7–3 (1)	John Maguire	Decision (unanimous)	UFC 154	3	5:00	Montreal, Quebec , Canada
NC	6–3 (1)	Chris Clements	No Contest	UFC 149	3	2:02	Calgary, Alberta , Canada
Win	6–3	Henry Martinez	Decision (split)	UFC 143	3	5:00	Las Vegas, Nevada , United States
Loss	5–3	Lance Benoist	Decision (unanimous)	UFC Fight Night: Shields vs. Ellenberger	3	5:00	New Orleans, Louisiana , United States
Loss	5–2	Sean Pierson	Decision (unanimous)	UFC 124	3	5:00	Montreal, Quebec , Canada
Win	5–1	DaMarques Johnson	TKO (punches)	UFC Live: Jones vs. Matyushenko	2	4:29	San Diego, California , United States
Win	4–1	Greg Soto	DQ (illegal upkick)	UFC 111	3	1:30	Newark, New Jersey , United States
Loss	3–1	Nick Osipczak	TKO (elbows & punches)	UFC 105	3	3:53	Manchester , England
Win	3–0	Dan Cramer	Decision (unanimous)	UFC 101	3	5:00	Philadelphia, Pennsylvania , United States
Win	2–0	Steve Bruno	Decision (unanimous)	UFC Fight Night: Lauzon vs. Stephens	3	5:00	Tampa, Florida , United States
Win	1–0	Dante Rivera	Decision (unanimous)	The Ultimate Fighter 7 Finale	3	5:00	Las Vegas, Nevada , United States
