Year	Team	Co-Drivers	Class	Laps	Pos.
1997	Joest Racing	Michele Alboreto Stefan Johansson	LMP	361	1st
1998	Team BMW Motorsport	Hans Joachim Stuck Steve Soper	LMP1	60	DNF
1999	Team BMW Motorsport	JJ Lehto Jörg Müller	LMP	304	DNF
2000	Audi Sport Team Joest	Frank Biela Emanuele Pirro	LMP900	368	1st
2001	Audi Sport Team Joest	Frank Biela Emanuele Pirro	LMP900	321	1st
2002	Audi Sport Team Joest	Frank Biela Emanuele Pirro	LMP900	375	1st
2003	Team Bentley	Rinaldo Capello Guy Smith	LMGTP	377	1st
2004	Audi Sport Japan Team Goh	Seiji Ara Rinaldo Capello	LMP1	379	1st
2005	ADT Champion Racing	JJ Lehto Marco Werner	LMP1	370	1st
2006	Audi Sport Team Joest	Rinaldo Capello Allan McNish	LMP1	367	3rd
2007	Audi Sport North America	Rinaldo Capello Allan McNish	LMP1	262	DNF
2008	Audi Sport North America	Rinaldo Capello Allan McNish	LMP1	381	1st
2009	Audi Sport Team Joest	Rinaldo Capello Allan McNish	LMP1	376	3rd
2010	Audi Sport Team Joest	Rinaldo Capello Allan McNish	LMP1	394	3rd
2011	Audi Sport North America	Rinaldo Capello Allan McNish	LMP1	14	DNF
2012	Audi Sport Team Joest	Allan McNish Rinaldo Capello	LMP1	377	2nd
2013	Audi Sport Team Joest	Allan McNish Loïc Duval	LMP1	348	1st
