Name	Location	Enrollment	1-year ranking of 727	5-year ranking of 693
Centennial Collegiate Vocational Institute	Guelph	1533	63	22
Centre Dufferin District High School	Shelburne	998	265	281
Centre Wellington District High School	Fergus	1459	330	246
College Heights Secondary School	Guelph	649	717	688
Erin District High School	Erin	616	197	148
Guelph Collegiate Vocational Institute	Guelph	1314	16	30
John F. Ross Collegiate Vocational Institute	Guelph	1895	181	165
Norwell District Secondary School	Palmerston	795	126	343
Orangeville District Secondary School	Orangeville	1574	181	194
Wellington Heights Secondary School	Mount Forest	680	371	426
Westside Secondary School	Orangeville	996	478	343
