Place	Player	Country	Score	To par	Money ( £ )
1	Greg Norman	Australia	74-63-74-69=280	E	70,000
2	Gordon J. Brand	England	71-68-75-71=285	+5	50,000
T3	Bernhard Langer	West Germany	72-70-76-68=286	+6	35,000
T3	Ian Woosnam	Wales	70-74-70-72=286	+6	35,000
5	Nick Faldo	England	71-70-76-70=287	+7	25,000
T6	Seve Ballesteros	Spain	76-75-73-64=288	+8	22,000
T6	Gary Koch	United States	73-72-72-71=288	+8	22,000
T8	Brian Marchbank	Scotland	78-70-72-69=289	+9	17,333
T8	Tsuneyuki Nakajima	Japan	74-67-71-77=289	+9	17,333
T8	Fuzzy Zoeller	United States	75-73-72-69=289	+9	17,333
