Place	Player	Country	Score	To par	Money ( $ )
1	Hubert Green	United States	67-69-70-72=278	–6	125,000
2	Lee Trevino	United States	66-68-75-71=280	–4	75,000
T3	Andy Bean	United States	71-70-72-68=281	–3	42,500
T3	Tze-Ming Chen	Taiwan	69-76-71-65=281	–3	42,500
5	Nick Price	Zimbabwe	73-73-65-71=282	–2	25,000
T6	Fred Couples	United States	70-65-76-72=283	–1	17,125
T6	Buddy Gardner	United States	73-73-70-67=283	–1	17,125
T6	Corey Pavin	United States	66-75-73-69=283	–1	17,125
T6	Tom Watson	United States	67-70-74-72=283	–1	17,125
T10	Peter Jacobsen	United States	66-71-75-72=284	E	12,625
T10	Lanny Wadkins	United States	70-69-73-72=284	E	12,625
