Season	Division	Tier	Points	FA Cup	FA Trophy	Shropshire Senior Cup
2004–05	Northern Premier League Division One	8	80	Pre	Pre	Final
2005–06	Northern Premier League Premier Division	7	59	2Q	3Q	Final
2006–07	Northern Premier League Premier Division	7	78	1Q	1Q	Final
2007–08	Conference North	6	80	2Q	1R	SF
2008–09	Conference North	6	76	1R	SF	Winners
2009–10	Conference North	6	51	1R	3Q	Final
2010–11	Conference North	6	82	3Q	3R	Final
2011–12	Conference National	5	46	1R	2R	Final
2012–13	Conference National	5	35	4Q	2R	Final Scrapped
2013–14	Conference North	6	21	2Q	(3Q)	Winners
