Elector	Nationality	Order	Title	Elevated	Elevator
Rinaldo Conti de Segni	ni Anagni	Cardinal-bishop	Bishop of Ostia e Velletri	September 18, 1227	Gregory IX
Romano Bonaventura	Roman	Cardinal-bishop	Bishop of Porto e Santa Rufina	1216	Innocent III
Goffredo da Castiglione	ese Milan	Cardinal-bishop	Bishop of Sabina	September 18, 1227	Gregory IX
Tommaso da Capua	Capua	Cardinal-priest	Title of S. Sabina	1216	Innocent III
Stefano de Normandis dei Conti	Roman	Cardinal-priest	Title of S. Maria in Trastevere	1216	Innocent III
Giovanni Colonna	Roman	Cardinal-priest	Title of S. Prassede	February 18, 1212	Innocent III
Sinibaldo Fieschi	Lavagnesi	Cardinal-priest	Title of S. Lorenzo in Lucina	September 18, 1227	Gregory IX
Rainiero Capocci , O.Cist.	Todi	Cardinal-deacon	Deacon of S. Maria in Cosmedin	1216	Innocent III
Gil Torres	Spanish	Cardinal-deacon	Deacon of Ss. Cosma e Damiano	December, 1216	Honorius III
Riccardo Annibaldi	Roman	Cardinal-deacon	Deacon of S. Angelo in Pescheria	1237	Gregory IX
Robert Somercotes	English	Cardinal-deacon	Deacon of S. Eustachio	1238	Gregory IX
