Date	Visitor	Score	Home	Record
October 8	Chicago Black Hawks	2–2	New York Rangers	0–0–1
October 11	Chicago Black Hawks	1–2	Toronto Maple Leafs	0–1–1
October 12	Vancouver Canucks	0-3	Chicago Black Hawks	1–1-1
October 15	Detroit Red Wings	4–4	Chicago Black Hawks	1–1–2
October 16	Chicago Black Hawks	1–7	Buffalo Sabres	1–2–2
October 18	Chicago Black Hawks	3–1	Minnesota North Stars	2–2–2
October 19	Minnesota North Stars	2–3	Chicago Black Hawks	3–2–2
October 22	Los Angeles Kings	5–3	Chicago Black Hawks	3–3–2
October 25	Chicago Black Hawks	4–0	Kansas City Scouts	4–3–2
October 26	Washington Capitals	7–5	Chicago Black Hawks	4–4–2
October 29	Montreal Canadiens	1–2	Chicago Black Hawks	5–4–2
November 1	Chicago Black Hawks	3–1	Detroit Red Wings	6–4–2
November 2	Vancouver Canucks	1–6	Chicago Black Hawks	7–4–2
November 5	Philadelphia Flyers	4-4	Chicago Black Hawks	7–4–3
November 8	Chicago Black Hawks	7–5	Pittsburgh Penguins	8-4–3
November 9	Minnesota North Stars	0–3	Chicago Black Hawks	9–4–3
November 12	Chicago Black Hawks	4–4	New York Rangers	9-4–4
November 13	Chicago Black Hawks	5-5	Philadelphia Flyers	9–4–5
November 15	Chicago Black Hawks	4-4	Montreal Canadiens	9–4–6
November 19	Chicago Black Hawks	4–2	Los Angeles Kings	10–4–6
November 22	Chicago Black Hawks	1–1	Vancouver Canucks	10–4–7
November 26	Toronto Maple Leafs	4–4	Chicago Black Hawks	10–4–8
November 29	Boston Bruins	4-4	Chicago Black Hawks	10–4–9
November 30	Kansas City Scouts	1–1	Chicago Black Hawks	10–4–10
December 3	Pittsburgh Penguins	3–3	Chicago Black Hawks	10–4–11
December 4	Chicago Black Hawks	2-5	Philadelphia Flyers	10–5–11
December 7	Atlanta Flames	2-0	Chicago Black Hawks	10–6–11
December 10	Chicago Black Hawks	7-2	Washington Capitals	11–6–11
December 13	Chicago Black Hawks	1–2	Minnesota North Stars	11–7–11
December 14	St. Louis Blues	4–3	Chicago Black Hawks	11–8–11
December 17	Philadelphia Flyers	4–2	Chicago Black Hawks	11–9–11
December 19	Chicago Black Hawks	2–5	California Golden Seals	11–10–11
December 21	New York Islanders	2–5	Chicago Black Hawks	12–10–11
December 23	St. Louis Blues	1–4	Chicago Black Hawks	13–10–11
December 27	Chicago Black Hawks	4-1	Toronto Maple Leafs	14–10–11
December 28	Buffalo Sabres	2-2	Chicago Black Hawks	14–10–12
December 30	California Golden Seals	3–5	Chicago Black Hawks	15–10–12
January 3	Chicago Black Hawks	1–1	New York Islanders	15–10–13
January 4	Pittsburgh Penguins	3–5	Chicago Black Hawks	16–10–13
January 9	Chicago Black Hawks	1–1	Atlanta Flames	16–10–14
January 11	New York Rangers	6–2	Chicago Black Hawks	16–11–14
January 14	Chicago Black Hawks	2-2	California Golden Seals	16-11–15
January 16	Chicago Black Hawks	2–1	Vancouver Canucks	17–11–15
January 18	Philadelphia Flyers	0–2	Chicago Black Hawks	18-11–15
January 21	Chicago Black Hawks	3–3	New York Rangers	18–11–16
January 24	Chicago Black Hawks	2-1	St. Louis Blues	19–11–16
January 25	Kansas City Scouts	1–3	Chicago Black Hawks	20–11–16
January 28	Atlanta Flames	3–7	Chicago Black Hawks	21–11–16
January 29	Chicago Black Hawks	3–5	Boston Bruins	21–12–16
January 31	Chicago Black Hawks	1–2	Detroit Red Wings	21–13–16
February 1	Vancouver Canucks	3–2	Chicago Black Hawks	21–14–16
February 4	Chicago Black Hawks	3–8	Montreal Canadiens	21–15–16
February 6	Chicago Black Hawks	2–1	Atlanta Flames	22–15–16
February 8	Washington Capitals	2–4	Chicago Black Hawks	23–15–16
February 11	Los Angeles Kings	7-4	Chicago Black Hawks	23–16–16
February 14	Chicago Black Hawks	5–4	Kansas City Scouts	24–16–16
February 15	Boston Bruins	4–1	Chicago Black Hawks	24–17–16
February 18	Buffalo Sabres	4–4	Chicago Black Hawks	24–17–17
February 21	Chicago Black Hawks	1–10	Pittsburgh Penguins	24–18–17
February 22	California Golden Seals	5–2	Chicago Black Hawks	24–19–17
February 24	Chicago Black Hawks	4–1	Vancouver Canucks	25–19–17
February 26	Chicago Black Hawks	6–2	Los Angeles Kings	26–19–17
February 28	Chicago Black Hawks	1–4	New York Islanders	26–20–17
February 29	Chicago Black Hawks	1–4	Washington Capitals	26–21–17
March 4	Chicago Black Hawks	4-6	Buffalo Sabres	26–22–17
March 6	Chicago Black Hawks	4–7	St. Louis Blues	26–23–17
March 10	Montreal Canadiens	5–1	Chicago Black Hawks	26-24–17
March 13	Chicago Black Hawks	4–1	Minnesota North Stars	27–24–17
March 14	New York Islanders	5–3	Chicago Black Hawks	27–25–17
March 16	Chicago Black Hawks	6–3	Kansas City Scouts	28–25–17
March 17	Toronto Maple Leafs	5–6	Chicago Black Hawks	29–25–17
March 20	Chicago Black Hawks	2–4	New York Islanders	29–26-17
March 21	Detroit Red Wings	6–0	Chicago Black Hawks	29–27–17
March 24	Atlanta Flames	7–2	Chicago Black Hawks	29–28–17
March 25	Chicago Black Hawks	2–4	Boston Bruins	29–29–17
March 27	New York Rangers	6–5	Chicago Black Hawks	29–30–17
March 28	Minnesota North Stars	3–5	Chicago Black Hawks	30–30–17
March 31	Kansas City Scouts	3–6	Chicago Black Hawks	31-30–17
April 3	Chicago Black Hawks	3–3	St. Louis Blues	31–30–18
April 4	St. Louis Blues	2–7	Chicago Black Hawks	32-30–18
