Song	International Jury	Luleå	Umeå	Sundsvall	Falun	Karlstad	Örebro	Norrköping	Göteborg	Växjö	Malmö	Stockholm	Total
"Hope & Glory"	6	10	12	6	10	2	4	2	12	10	10	12	96
"Snälla snälla"	10	12	8	—	4	—	2	6	4	6	—	1	51
"Love Love Love"	—	1	4	8	2	1	—	—	—	—	6	10	40
"1000 Miles"	—	2	6	2	1	12	—	4	1	8	12	—	58
"You're My World"	4	—	—	—	12	—	8	—	—	4	—	8	28
"Stay the Night"	—	6	10	12	—	10	1	10	8	1	1	6	67
"Moving On"	12	4	1	4	6	6	10	8	2	12	8	2	75
"Baby Goodbye"	—	—	—	10	8	8	12	1	6	—	—	4	49
"Alla"	8	—	—	—	—	—	—	—	—	—	4	—	12
"Så vill stjärnorna"	2	—	—	—	—	—	—	—	—	—	—	—	2
"La voix"	1	8	2	1	—	4	6	12	—	2	2	—	38
