Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Team Player's	85	2:03:04.677	2	22
Michel Jourdain, Jr.	Team Rahal	85	+2.0 secs	5	16
Alex Tagliani	Rocketsports Racing	3	+12.0 secs	3	14
Adrian Fernández	Fernández Racing	85	+14.2 secs	6	12
Bruno Junqueira	Newman/Haas Racing	85	+14.9 secs	7	10
Roberto Moreno	Herdez Competition	85	+30.9 secs	14	8
Darren Manning	Walker Racing	85	+35.2 secs	13	6
Patrick Carpentier	Team Player's	84	+ 1 Lap	15	5
Alex Yoong	Dale Coyne Racing	84	+ 1 Lap	17	4
Patrick Lemarié	PK Racing	84	+ 1 Lap	12	3
Joël Camathias	Dale Coyne Racing	84	+ 1 Lap	19	2
Ryan Hunter-Reay	American Spirit Team Johansson	83	+ 2 Laps	9	1
Mario Domínguez	Herdez Competition	83	+ 2 Laps	8	0
Jimmy Vasser	American Spirit Team Johansson	83	+ 2 Laps	16	0
Rodolfo Lavín	Walker Racing	81	+ 4 Laps	18	0
Mario Haberfeld	Mi-Jack Conquest Racing	67	Contact	11	0
Sébastien Bourdais	Newman/Haas Racing	40	Contact	1	1
Oriol Servià	Patrick Racing	38	Contact	4	0
Tiago Monteiro	Fittipaldi-Dingman Racing	2	Mechanical	10	0
