Game	Date	Opponent	Score	Location/Attendance	Record
25	December 3	New York	93-126	Madison Square Garden	12-13
26	December 4	New York	113-121	Alexander Memorial Coliseum	12-14
27	December 6	L.A. Lakers	94-99	Alexander Memorial Coliseum	12-15
28	December 8	Phoenix	121-99	Arizona Veterans Memorial Coliseum	13-15
29	December 10	San Francisco	111-100	Oakland-Alameda County Coliseum Arena	14-15
30	December 12	Seattle	93-91	Seattle Center Coliseum	15-15
31	December 13	L.A. Lakers	105-103	The Forum	16-15
32	December 17	Chicago	87-83	Chicago Stadium	17-15
33	December 18	Milwaukee	122-116	Alexander Memorial Coliseum	18-15
34	December 21	Detroit	120-110	Alexander Memorial Coliseum	19-15
35	December 26	Seattle	126-96	Alexander Memorial Coliseum	20-15
36	December 28	Boston	110-97	Alexander Memorial Coliseum	21-15
37	December 29	Baltimore	101-99	Alexander Memorial Coliseum	22-15
