Name	Height	Weight	Spike	2008 club
Luigi Mastrangelo Category:Articles with hCards	m ()	kg (lb)	cm (in)	M. Roma Volley
Mauro Gavotto Category:Articles with hCards	m ()	kg (lb)	cm (in)	Acqua Paradiso Gabeca
Valerio Vermiglio Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lube Banca Marche
Marco Meoni Category:Articles with hCards	m ()	kg (lb)	cm (in)	Copra Nordmeccanica
Alessandro Paparoni Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lube Banca Marche
Alberto Cisolla Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sisley Treviso
Matteo Martino Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sparkling Milano
Hristo Zlatanov Category:Articles with hCards	m ()	kg (lb)	cm (in)	Copra Nordmeccanica
Mirko Corsano Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lube Banca Marche
Alessandro Fei Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sisley Treviso
Emanuele Birarelli Category:Articles with hCards	m ()	kg (lb)	cm (in)	Itas Diatec
Vigor Bovolenta Category:Articles with hCards	m ()	kg (lb)	cm (in)	Copra Nordmeccanica
