Rider	Bike	Laps	Time	Grid
Jonathan Rea	Honda CBR600RR	18	37:35.093	7
Andrew Pitt	Honda CBR600RR	18	+0.020	4
Josh Brookes	Honda CBR600RR	18	+1.433	3
Broc Parkes	Yamaha YZF-R6	18	+1.853	1
Barry Veneman	Suzuki GSX-R600	18	+2.237	2
Gianluca Nannelli	Honda CBR600RR	18	+12.032	11
Russell Holland	Honda CBR600RR	18	+12.221	10
Mathieu Lagrive	Honda CBR600RR	18	+12.787	9
Vesa Kallio	Honda CBR600RR	18	+15.334	8
Massimo Roccoli	Yamaha YZF-R6	18	+15.780	17
Chris Walker	Kawasaki ZX-6R	18	+23.645	20
Gianluca Vizziello	Honda CBR600RR	18	+23.758	19
Ivan Clementi	Triumph 675	18	+24.074	18
Didier van Keymeulen	Suzuki GSX-R600	18	+24.621	12
David Salom	Yamaha YZF-R6	18	+26.866	15
Katsuaki Fujiwara	Kawasaki ZX-6R	18	+26.891	21
Danilo dell'Omo	Honda CBR600RR	18	+29.566	22
Joan Lascorz	Honda CBR600RR	18	+34.218	16
Balázs Németh	Honda CBR600RR	18	+44.347	29
Denis Sacchetti	Honda CBR600RR	18	+44.650	26
Juan Hidalgo	Yamaha YZF-R6	18	+51.768	30
Mark Aitchinson	Triumph 675	18	+54.336	6
Lorenzo Alfonsi	Honda CBR600RR	18	+54.351	27
Ruggero Scambia	Triumph 675	18	+1:28.911	32
Robbin Harms	Honda CBR600RR	17	Retirement	14
Craig Jones	Honda CBR600RR	16	Retirement	5
Gregory Leblanc	Honda CBR600RR	11	Retirement	13
William de Angelis	Honda CBR600RR	9	Retirement	28
Santiago Barragan	Honda CBR600RR	3	Retirement	31
Miguel Praia	Honda CBR600RR	0	Accident	25
Jesco Gunther	Honda CBR600RR	0	Accident	24
Graeme Gowland	Honda CBR600RR	0	Accident	23
