Year	Category	Recipients and nominees	Role/Episode	Result
1994	Best Series – Drama	Best Series – Drama	Best Series – Drama	Won
1995	Best Actor in Leading Role – Drama Series	David Duchovny	Fox Mulder	Nominated
1995	Best Actress in a Leading Role – Drama Series	Gillian Anderson	Dana Scully	Nominated
1996	Best Actor in Leading Role – Drama Series	David Duchovny	David Duchovny	Won
1996	Best Actress in Leading Role – Drama Series	Gillian Anderson	Gillian Anderson	Won
1996	Best Series – Drama	Best Series – Drama	Best Series – Drama	Won
1997	Best Actor in Leading Role – Drama Series	David Duchovny	David Duchovny	Nominated
1997	Best Actress in Leading Role – Drama Series	Gillian Anderson	Gillian Anderson	Nominated
1997	Best Series – Drama	Best Series – Drama	Best Series – Drama	Won
1998	Best Actor in Leading Role – Drama Series	David Duchovny	David Duchovny	Nominated
1998	Best Actress in Leading Role – Drama Series	Gillian Anderson	Gillian Anderson	Nominated
1998	Best Series – Drama	Best Series – Drama	Best Series – Drama	Nominated
