Heat	Lane	Name	Nationality	Time
7	6	Dániel Gyurta	Hungary	2:08.68
5	2	Paolo Bossini	Italy	2:08.98
7	2	Loris Facci	Italy	2:09.12
7	5	Hugues Duboscq	France	2:09.42
6	6	Mike Brown	Canada	2:09.84
7	4	Kosuke Kitajima	Japan	2:09.89
6	3	Eric Shanteau	United States	2:10.29
6	2	William Diering	South Africa	2:10.39
6	7	Neil Versfeld	South Africa	2:10.50
5	5	Scott Spann	United States	2:10.61
7	7	Vladislav Polyakov	Kazakhstan	2:10.83
4	7	Andrew Bree	Ireland	2:10.91
6	4	Brenton Rickard	Australia	2:11.00
7	1	Igor Borysik	Ukraine	2:11.08
5	3	Kristopher Gilchrist	Great Britain	2:11.13
4	6	Glenn Snyders	New Zealand	2:11.19
6	5	Alexander Dale Oen	Norway	2:11.30
7	3	Yuta Suenaga	Japan	2:11.30
3	3	Thiago Pereira	Brazil	2:11.40
3	5	Tom Be'eri	Israel	2:11.44
4	1	Hunor Mate	Austria	2:11.56
7	8	Valeriy Dymo	Ukraine	2:11.65
5	4	Grigory Falko	Russia	2:11.88
5	8	Mihail Alexandrov	Bulgaria	2:11.94
4	5	Yevgeniy Ryzhkov	Kazakhstan	2:12.44
5	6	Christian Sprenger	Australia	2:12.56
3	4	Melquíades Álvarez	Spain	2:12.59
4	8	Julien Nicolardot	France	2:12.76
5	1	Mathieu Bois	Canada	2:12.87
6	1	Henrique Barbosa	Brazil	2:12.99
1	4	Edvinas Dautartas	Lithuania	2:13.11
2	4	Carlos Almeida	Portugal	2:13.34
6	8	Chris Christensen	Denmark	2:13.92
4	3	Sergio García	Spain	2:14.30
4	2	Maxim Podoprigora	Austria	2:14.43
1	6	Sandeep Sejwal	India	2:15.24
4	4	James Kirton	Great Britain	2:15.25
2	3	Jakob Jóhann Sveinsson	Iceland	2:15.58
3	2	Jiří Jedlička	Czech Republic	2:15.79
2	8	Laurent Carnol	Luxembourg	2:15.87
3	8	Romanos Alyfantis	Greece	2:16.04
3	7	Sofiane Daid	Algeria	2:16.15
2	5	Shin Su-Jong	South Korea	2:16.21
3	6	Lai Zhongjian	China	2:16.28
5	7	Alexey Zinovyev	Russia	2:16.40
2	6	Martti Aljand	Estonia	2:16.52
2	2	Miguel Molina	Philippines	2:16.94
3	1	Robin van Aggele	Netherlands	2:17.14
2	1	Wang Wei-Wen	Chinese Taipei	2:17.20
1	2	Leopoldo Andara	Venezuela	2:17.77
1	5	Ömer Aslanoglu	Turkey	2:17.93
1	3	Sergio Andres Ferreyra	Argentina	2:20.10
2	7	Valentin Preda	Romania	DNS
