Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 7, 2003	St. Louis Rams	W 23–13	FOX 1:00pm	78,666
2	September 15, 2003	Dallas Cowboys	L 35–32 (OT)	ABC 9:00pm	78,907
3	September 21, 2003	at Washington Redskins	W 24–21	FOX 4:00pm	84,856
4	Bye	Bye	Bye	Bye	Bye
5	October 5, 2003	Miami Dolphins	L 23–10	CBS 1:00pm	78,863
6	October 12, 2003	at New England Patriots	L 17–6	FOX 1:00pm	68,436
7	October 19, 2003	Philadelphia Eagles	L 14–10	FOX 1:00pm	78,883
8	October 26, 2003	at Minnesota Vikings	W 29–17	FOX 1:00pm	64,114
9	November 2, 2003	at New York Jets	W 31–28 (OT)	FOX 1:00pm	78,132
10	November 9, 2003	Atlanta Falcons	L 27–7	FOX 1:00pm	78,813
11	November 16, 2003	at Philadelphia Eagles	L 28–10	FOX 1:00pm	67,867
12	November 24, 2003	at Tampa Bay Buccaneers	L 19–13	ABC 9:00pm	65,648
13	November 30, 2003	Buffalo Bills	L 24–7	CBS 1:00pm	78,481
14	December 7, 2003	Washington Redskins	L 20–7	FOX 1:00pm	78,217
15	December 14, 2003	at New Orleans Saints	L 45–7	ESPN 8:30pm	68,399
16	December 21, 2003	at Dallas Cowboys	L 19–3	FOX 1:00pm	64,118
17	December 28, 2003	Carolina Panthers	L 37–24	FOX 4:00pm	78,130
