Rank	Time	Athlete	Date	Place
1.	5.56 [A ] B	Donovan Bailey	9 February 1996	Reno
1.	5.56 [A ] B	Maurice Greene	13 February 1999	Los Angeles
3.	5.58	Leonard Scott	26 February 2005	Liévin
4	5.61	Manfred Kokot	4 February 1973	Berlin
4	5.61	James Sanford	20 February 1981	San Diego
4	5.61	Michael Green	16 February 1997	Liévin
4	5.61	Deji Aliu	21 February 1999	Liévin
4	5.61	Jason Gardener	16 February 2000	Madrid
4	5.61	Freddy Mayola	16 February 2000	Madrid
10	5.62	Emmit King	5 March 1986	Kobe
10	5.62	Andre Cason	15 February 1992	Los Angeles
10	5.62	Eric Nkansah	21 February 1999	Liévin
10	5.62	Morne Nagel	24 February 2002	Liévin
