Pinn. Rank	Std. Rank	Name	Pinnacle height ft (m)	Standard height ft (m)	Floors	Year
1	1	Willis Tower	1,730 (527)	1,451 (442)	108	1974
2	4	John Hancock Center	1,500 (457)	1,127 (344)	100	1969
3	2	Trump International Hotel and Tower	1,389 (423)	1,389 (423)	93	2009
4	3	Aon Center	1,136 (346)	1,136 (346)	83	1973
5	5	Franklin Center North Tower	1,007 (307)	887 (270)	61	1989
6	6	Two Prudential Plaza	995 (303)	995 (303)	64	1990
7	7	311 South Wacker Drive	961 (293)	961 (293)	65	1990
8	42	One Prudential Plaza	912 (278)	601 (183)	41	1955
9	8	900 North Michigan	871 (266)	871 (266)	66	1989
10	9	Water Tower Place	859 (262)	859 (262)	74	1976
