Brand	Model	Type	Modem	Storage	CPU speed	CPU chip
Sony	INT-W100	Classic	V.34	2 MB	112MHz	R4640
Philips	MAT-960	Classic	V.34	2 MB	112MHz	R4640
Sony	INT-W150	New Classic	V.90	2 MB	150MHz	RM5230
Philips	MAT-965	New Classic	V.90	2 MB	150MHz	RM5230
RCA	RW-2100	New Classic	V.90	2 MB	150MHz	RM5230
RCA	RM-2100	New Classic	V.90	2 MB	150MHz	RM5230
Sony	INT-W200	Plus	V.90	1.1 GB	150MHz	R4640
Philips	MAT-972	Plus	V.90	1.1 GB	150MHz	R4640
Samsung	SIS-100	Plus	V.90	1.1 GB	150MHz	R4640
Mitsubishi	RW-2000	Plus	V.90	1.1 GB	150MHz	R4640
Mitsubishi	RW-2001	Plus	V.90	1.1 GB	150MHz	R4640
RCA	RW-2110	Plus	V.90	2 MB	167MHz	RM5230
Sony	INT-W250	New Plus	V.90	2 MB	167MHz	RM5230
Philips	MAT-976	New Plus	V.90	2 MB	167MHz	RM5230
Echostar	Dishplayer 7100	DISH tuner	V.90	8.6 GB	167MHz	RM5230
Echostar	Dishplayer 7200	DISH tuner	V.90	17.6 GB	167MHz	RM5230
RCA	UltimateTV	DirecTV tuner	V.90	40 GB	167MHz	RM5230
RCA	RM-4100	MSNTV2	V.90	64 MB	733MHz	Celeron
RCA	RM-4100 (2)	MSNTV2	V.90	64 MB	733MHz	Celeron
