Year	Chinese Title	English	Role	Character
2006	屋頂上的綠寶石	Emerald on the Roof	Minor	Nie Kai (聶凱)
2007	武十郎	Love at First Fight	Main	Lei Sheng Da (雷聲大)
2007	終極一家	The X-Family	Guest	Shen Xing Zhe (神行者) / Qiang Ling Wang (槍靈王)
2007	公主小妹	Romantic Princess	Supporting	Nan Feng Lin (南風璘)
2008	籃球火	Hot Shot	Supporting	Wu Ji Wei (無極威)
2009	愛就宅一起	ToGetHer	Main	Wei Jia Sen (魏加森)
2009	終極三國	K.O.3an Guo	Main	Guan Yu (關羽)
2010	我和我的兄弟~恩	Me & My Brothers	Main	Dennis
2011	旋風管家	Hayate the Combat Butler (TV series)	Lead Role	Ling Qisa (凌奇颯)/ Hayate Ayazaki
2011	新兵日記之特戰英雄	" Rookies diary season2 "	Main	Zheng Qiang (鄭強)
2012	戀夏38℃	Summer Fever	Lead Role	Lin Ming Kuan (林明寬)
2012	真愛趁現在	Love, Now	Lead Role	Lan Shi-de (藍仕德)
2013	真愛黑白配	Love Around	Lead Role	Zhou Zhen (周震)
