Event	Record	Nationality	Date	Games
100 m	11.03 (heat)	Jamaica	11 April 1998	1998 Port of Spain
100 m	11.03 (heat)	Bahamas	11 April 1998	1998 Port of Spain
200 m	22.77 (+1.7m/s)	Bahamas	1 April 2013	2013 Nassau
400 m	51.30	Jamaica	15 April 2006	2006 Les Abymes
800 m	2:05.90	Jamaica	24 March 2008	2008 Basseterre
1500 m	4:27.48	Jamaica	10 April 2009	2009 Vieux Fort
3000 m	9:50.56	Jamaica	31 March 1991	1991 Port of Spain
100 m hurdles (84cm)	13.42 (+0.5m/s)	Jamaica	5 April 2010	2010 Georgetown
400 m hurdles	56.61	Jamaica	20 April 2003	2003 Port of Spain
High jump	1.87 m	Saint Lucia	1 April 2013	2013 Nassau
Long jump	6.39 m	Bahamas	March 1989	1989 Bridgetown
Triple jump	13.22 m	Jamaica	5 April 1999	1999 Fort-de-France
Shot put	15.75 m	Martinique	30 March 2002	2002 Nassau
Discus throw	53.47 m	Martinique	31 March 2002	2002 Nassau
Javelin throw 600g old spec. (-1998)	53.98 m	Bermuda	20 April 1979	1979 Kingston
Javelin throw 600g new spec. (1999-)	47.88 m	Martinique	5 April 1999	1999 Fort-de-France
Pentathlon	3935 pts	Jamaica	23 March 2008	2008 Basseterre
4×100 m relay	44.08	Jamaica	24 April 2011	2011 Montego Bay
4×400 m relay	3:31.47	Jamaica	25 April 2011	2011 Montego Bay
