Rank	Series	Episode title	Viewers	Date
1	The Sarah Jane Adventures	"The Empty Planet (Part 1)"	993,000	1 November 2010
2	The Sarah Jane Adventures	"Lost In Time (Part 1)"	984,000	8 November 2010
3	The Sarah Jane Adventures	"Death of the Doctor (Part 2)"	960,000	26 October 2010
4	The Sarah Jane Adventures	"Death of the Doctor (Part 1)"	920,000	25 October 2010
5	Tracy Beaker Returns	"Shadows"	874,000	13 January 2012
6	Tracy Beaker Returns	"Big Brother"	856,000	20 January 2012
7	Tracy Beaker Returns	"Slow Burn"	856,000	6 January 2012
8	My Sarah Jane	A Tribute to Elisabeth Sladen	830,000	23 April 2011
9	Tracy Beaker Returns	Full Circle	828,000	8 January 2010
10	The Sarah Jane Adventures	Goodbye, Sarah Jane Smith (Part 2)	824,000	16 November 2010
