Number	Previous Number(s)	Previous Class	Converted	Withdrawn	Disposal
1	68845	J52	1952	1958	Scrapped (1958)
2 (1st)	68816	J52	1952	1956	Scrapped (1956)
2 (2nd)	68858	J52	1956	1961	Scrapped (1961)
3	68181	Y3	1952	1959	Scrapped (1959)
4	68132	Y1	1952	1959	Scrapped (1959)
5	68165	Y3	1953	1958	Scrapped (1958)
6	68133	Y1	1953	1955	Scrapped (1955)
7	68166	Y3	1953	1964	Scrapped (1964)
8	68183	Y3	1955	1959	Scrapped (1959)
9	68840	J52	1958	1961	Scrapped (1961)
10	68911	J50	1961	1965	Scrapped (1965)
11	68914	J50	1961	1965	Scrapped (1965)
12	68917	J50	1962	1965	Scrapped (1965)
13	68928	J50	1962	1965	Scrapped (1965)
14	68961	J50	1962	1965	Scrapped (1965)
15	68971	J50	1962	1965	Scrapped (1965)
16	68976	J50	1962	1965	Scrapped (1965)
17	61059	B1	1963	1966	Scrapped (1966)
18	61181	B1	1963	1965	Scrapped (1966)
19	61204	B1	1963	1966	Scrapped (1966)
20	61205	B1	1963	1965	Scrapped (1966)
21 (1st)	68162	Y3	1956	1960	Scrapped (1960)
21 (2nd)	61233	B1	1963	1966	Scrapped (1966)
22	61252	B1	1963	1964	Scrapped (1966)
23	61300	B1	1963	1965	Scrapped (1966)
24 (1st)	61323	B1	1963	1963	Scrapped (1964)
24 (2nd)	61375	B1	1963	1966	Scrapped (1966)
25	61272	B1	1965	1966	Scrapped (1966)
26	61138	B1	1965	1967	Scrapped (1968)
27	61105	B1	1965	1966	Scrapped (1966)
28	61194	B1	1965	1966	Scrapped (1966)
29	61264	B1	1965	1967	Preserved
30	61050	B1	1966	1968	Scrapped (1968)
31 (2nd)	61051	B1	1966	1966	Scrapped (1966)
32 (2nd)	61315	B1	1966	1968	Scrapped (1968)
